Season,Week,EndingDate,Reporting laboratory,SARS-CoV-2 tests,SARS-CoV-2 detections,Influenza tests,Total influenza detections,A(H1)pdm09 detections,A(H3) detections,A(UnS) detections,Total influenza A detections,Influenza B detections,RSV tests,RSV detections,HPIV tests,HPIV 1 detections,HPIV 2 detections,HPIV 3 detections,HPIV 4 detections,Other HPIV detections,ADV tests,ADV detections,HMPV tests,HMPV detections,EV/RV tests,EV/RV detections,HCoV tests,HCoV detections
2025-2026,7,2026-02-21,Newfoundland and Labrador,405,14,362,43,1,40,1,42,1,362,17,362,0,0,4,2,0,362,2,362,26,362,10,362,31
2025-2026,7,2026-02-21,Prince Edward Island,209,7,207,42,0,0,13,13,29,207,23,25,0,0,2,0,0,25,1,25,3,25,3,25,1
2025-2026,7,2026-02-21,Nova Scotia,"1,492",55,"1,511",218,1,0,141,142,76,"1,511",93,49,0,0,1,0,0,49,0,49,0,49,6,49,4
2025-2026,7,2026-02-21,New Brunswick,"1,029",60,"1,033",50,0,0,45,45,5,"1,033",78,90,0,0,1,1,0,90,2,90,5,90,13,90,12
2025-2026,7,2026-02-21,Quebec,"10,211",492,"10,079",536,0,1,378,379,157,"8,156",832,"1,189",2,2,6,3,0,"1,204",42,"1,189",34,"1,254",86,"1,180",134
2025-2026,7,2026-02-21,Ontario,"6,527",482,"6,292",180,24,15,53,90,90,"6,292",472,"3,754",3,3,6,4,20,"3,754",40,"3,752",111,"3,752",184,"3,661",371
2025-2026,7,2026-02-21,Manitoba,718,67,"1,053",7,0,1,2,3,4,"1,053",22,75,0,0,0,0,0,75,0,75,6,75,4,75,7
2025-2026,7,2026-02-21,Saskatchewan,"1,336",75,"1,300",75,0,0,36,36,39,"1,225",143,406,1,1,3,3,0,406,3,406,23,406,22,406,44
2025-2026,7,2026-02-21,Alberta,"4,771",196,"2,617",165,12,13,1,26,139,"4,393",377,"1,445",14,1,7,10,0,"1,443",8,"1,442",47,"1,443",109,"1,445",140
2025-2026,7,2026-02-21,British Columbia,"3,160",117,"3,515",213,10,25,0,156,57,"3,515",325,747,7,3,5,12,0,764,9,750,55,770,75,738,37
2025-2026,7,2026-02-21,Yukon,42,0,34,5,0,0,0,4,1,34,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,7,2026-02-21,Northwest Territories,37,1,37,4,0,0,0,0,4,37,6,N/A,N/A,N/A,N/A,N/A,N/A,37,0,37,2,37,5,N/A,N/A
2025-2026,7,2026-02-21,Nunavut,66,5,66,0,0,0,0,0,0,66,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,7,2026-02-21,Canada,"30,003","1,571","28,106","1,538",48,95,670,936,602,"27,884","2,389","8,142",27,10,35,35,20,"8,209",107,"8,177",312,"8,263",517,"8,031",781
2025-2026,6,2026-02-14,Newfoundland and Labrador,402,6,359,61,2,53,6,61,0,359,8,359,0,2,0,1,0,359,3,359,25,359,15,359,34
2025-2026,6,2026-02-14,Prince Edward Island,190,5,179,57,0,0,28,28,29,179,8,21,0,0,0,0,0,21,1,21,6,21,2,21,4
2025-2026,6,2026-02-14,Nova Scotia,"1,413",58,"1,429",207,2,14,159,175,32,"1,429",97,36,1,0,0,0,0,36,1,36,0,36,5,36,2
2025-2026,6,2026-02-14,New Brunswick,"1,146",86,"1,099",84,5,2,74,81,3,"1,099",97,60,0,0,1,0,0,60,1,60,3,60,7,60,7
2025-2026,6,2026-02-14,Quebec,"10,176",517,"9,994",587,0,1,494,495,92,"8,024",845,"1,102",4,1,4,5,0,"1,119",34,"1,102",37,"1,197",71,"1,094",114
2025-2026,6,2026-02-14,Ontario,"6,294",469,"5,929",172,36,15,56,102,70,"5,929",410,"3,523",5,1,6,2,29,"3,523",34,"3,523",72,"3,523",184,"3,459",269
2025-2026,6,2026-02-14,Manitoba,"1,094",63,"1,007",12,0,0,7,7,5,"1,007",31,52,0,1,1,0,0,52,3,52,5,52,7,52,7
2025-2026,6,2026-02-14,Saskatchewan,"1,437",102,"1,430",60,1,2,16,19,41,"1,346",154,530,6,1,5,5,0,530,4,530,26,530,48,530,43
2025-2026,6,2026-02-14,Alberta,"5,107",209,"4,958",375,24,41,4,70,305,"4,697",458,"1,670",5,4,14,13,0,"1,670",12,"1,670",55,"1,670",141,"1,670",136
2025-2026,6,2026-02-14,British Columbia,"3,283",93,"3,706",234,19,55,2,173,61,"3,706",346,847,1,1,6,14,1,879,12,852,72,884,97,845,37
2025-2026,6,2026-02-14,Yukon,38,1,29,8,0,2,0,8,0,29,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,6,2026-02-14,Northwest Territories,38,0,38,0,0,0,0,0,0,38,2,N/A,N/A,N/A,N/A,N/A,N/A,38,0,38,2,38,6,N/A,N/A
2025-2026,6,2026-02-14,Nunavut,85,5,85,7,0,4,0,4,3,85,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,6,2026-02-14,Canada,"30,703","1,614","30,242","1,864",89,189,846,"1,223",641,"27,927","2,464","8,200",22,11,37,40,30,"8,287",105,"8,243",303,"8,370",583,"8,126",653
2025-2026,5,2026-02-07,Newfoundland and Labrador,362,7,327,47,2,42,3,47,0,327,3,327,1,2,1,3,0,327,4,327,18,327,15,327,22
2025-2026,5,2026-02-07,Prince Edward Island,158,6,149,34,0,0,22,22,12,149,4,8,0,0,0,0,0,8,1,8,3,8,2,8,2
2025-2026,5,2026-02-07,Nova Scotia,"1,400",62,"1,419",202,1,23,162,186,16,"1,419",81,36,3,0,0,0,0,36,0,36,0,36,3,36,2
2025-2026,5,2026-02-07,New Brunswick,"1,121",96,"1,120",88,4,1,82,87,1,"1,120",93,91,0,0,1,1,1,91,2,91,4,91,17,91,13
2025-2026,5,2026-02-07,Quebec,"10,029",533,"9,916",670,1,0,555,556,114,"7,945",711,"1,157",3,3,2,0,0,"1,170",28,"1,157",26,"1,231",102,"1,155",103
2025-2026,5,2026-02-07,Ontario,"6,239",392,"5,972",127,24,16,47,84,43,"5,972",452,"3,479",0,2,4,4,23,"3,479",38,"3,479",53,"3,479",186,"3,434",224
2025-2026,5,2026-02-07,Manitoba,"1,004",56,941,8,0,2,5,7,1,941,22,78,0,1,0,0,0,78,0,78,6,78,7,78,3
2025-2026,5,2026-02-07,Saskatchewan,"1,421",90,"1,422",61,3,7,15,25,36,"1,318",171,515,4,3,6,10,0,515,12,515,18,515,44,515,36
2025-2026,5,2026-02-07,Alberta,"4,967",216,"4,789",324,33,49,3,85,239,"4,523",419,"1,591",8,4,1,4,0,"1,591",12,"1,591",46,"1,591",132,"1,591",120
2025-2026,5,2026-02-07,British Columbia,"3,677",120,"4,145",386,24,120,0,331,55,"4,145",365,907,4,4,6,8,1,923,10,909,45,947,118,888,32
2025-2026,5,2026-02-07,Yukon,59,1,45,15,2,7,0,13,2,45,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,5,2026-02-07,Northwest Territories,35,2,35,1,0,0,0,0,1,35,8,N/A,N/A,N/A,N/A,N/A,N/A,35,1,35,1,35,5,N/A,N/A
2025-2026,5,2026-02-07,Nunavut,86,7,86,25,0,4,1,5,20,86,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,5,2026-02-07,Canada,"30,558","1,588","30,366","1,988",94,271,895,"1,448",540,"28,025","2,337","8,189",23,19,21,30,25,"8,253",108,"8,226",220,"8,338",631,"8,123",557
2025-2026,4,2026-01-31,Newfoundland and Labrador,448,12,417,45,1,41,3,45,0,417,14,417,2,4,6,2,0,417,2,417,16,417,17,417,20
2025-2026,4,2026-01-31,Prince Edward Island,147,7,145,22,0,1,12,13,9,145,16,12,0,1,0,0,0,12,2,12,1,12,4,12,0
2025-2026,4,2026-01-31,Nova Scotia,"1,481",110,"1,470",226,0,12,197,209,17,"1,470",76,40,2,0,0,0,0,40,0,40,0,40,1,40,3
2025-2026,4,2026-01-31,New Brunswick,"1,019",87,"1,025",70,2,5,62,69,1,"1,025",82,120,0,1,0,0,1,120,4,120,0,120,20,120,8
2025-2026,4,2026-01-31,Quebec,"9,812",504,"9,697",811,0,0,747,747,64,"7,730",647,"1,129",3,5,5,3,0,"1,143",37,"1,129",11,"1,225",100,"1,117",84
2025-2026,4,2026-01-31,Ontario,"6,065",356,"5,807",161,19,33,80,124,37,"5,807",464,"3,290",1,3,3,2,28,"3,290",32,"3,265",47,"3,265",134,"3,203",149
2025-2026,4,2026-01-31,Manitoba,"1,113",74,"1,015",19,0,1,18,19,0,"1,015",29,70,1,0,0,0,0,70,3,70,3,70,8,70,2
2025-2026,4,2026-01-31,Saskatchewan,"1,267",83,"1,297",76,7,11,30,48,28,"1,176",123,436,6,0,2,2,0,436,7,436,8,436,20,436,14
2025-2026,4,2026-01-31,Alberta,"5,047",210,"4,821",315,37,93,5,136,179,"4,587",446,"1,660",6,2,5,3,0,"1,660",7,"1,660",40,"1,660",113,"1,660",82
2025-2026,4,2026-01-31,British Columbia,"3,850",145,"4,519",542,48,148,3,493,49,"4,519",360,922,8,3,8,4,0,942,12,920,48,949,109,907,32
2025-2026,4,2026-01-31,Yukon,59,0,51,10,0,8,0,9,1,52,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,4,2026-01-31,Northwest Territories,32,1,32,1,0,1,0,1,0,32,2,N/A,N/A,N/A,N/A,N/A,N/A,32,1,32,0,32,4,N/A,N/A
2025-2026,4,2026-01-31,Nunavut,60,3,60,10,0,4,0,4,6,60,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,4,2026-01-31,Canada,"30,400","1,592","30,356","2,308",114,358,"1,157","1,917",391,"28,035","2,263","8,096",29,19,29,16,29,"8,162",107,"8,101",174,"8,226",530,"7,982",394
2025-2026,3,2026-01-24,Newfoundland and Labrador,511,10,469,51,1,46,4,51,0,469,8,469,0,5,3,5,0,469,0,469,31,469,24,469,24
2025-2026,3,2026-01-24,Prince Edward Island,117,3,117,12,0,0,11,11,1,117,7,11,1,0,0,0,0,11,0,11,1,11,2,11,0
2025-2026,3,2026-01-24,Nova Scotia,"1,564",109,"1,585",261,1,24,226,251,10,"1,585",66,41,1,0,0,0,0,41,2,41,1,41,2,41,1
2025-2026,3,2026-01-24,New Brunswick,"1,068",95,"1,086",99,1,5,92,98,1,"1,086",61,108,2,0,2,1,1,108,2,108,2,108,17,108,3
2025-2026,3,2026-01-24,Quebec,"10,572",561,"10,328","1,006",0,0,953,953,53,"8,110",557,"1,088",5,0,9,2,0,"1,097",32,"1,087",26,"1,161",91,"1,083",66
2025-2026,3,2026-01-24,Ontario,"6,751",448,"6,435",240,25,54,145,216,24,"6,434",481,"3,563",0,1,5,6,41,"3,565",33,"3,561",28,"3,561",146,"3,507",133
2025-2026,3,2026-01-24,Manitoba,"1,106",48,"1,039",21,0,0,21,21,0,"1,039",18,76,0,0,0,0,0,76,1,76,6,76,7,76,0
2025-2026,3,2026-01-24,Saskatchewan,"1,343",84,"1,348",97,2,21,59,82,15,"1,233",114,472,2,4,1,5,0,472,7,472,7,472,29,472,6
2025-2026,3,2026-01-24,Alberta,"5,024",178,"4,795",324,39,152,8,200,124,"4,557",345,"1,595",8,4,11,10,0,"1,594",9,"1,595",37,"1,595",110,"1,595",76
2025-2026,3,2026-01-24,British Columbia,"3,457",112,"4,283",485,34,170,2,448,37,"4,283",294,937,6,2,6,20,0,957,6,937,47,955,74,921,23
2025-2026,3,2026-01-24,Yukon,35,1,33,6,0,5,0,5,1,33,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,3,2026-01-24,Northwest Territories,47,3,47,2,0,2,0,2,0,47,0,N/A,N/A,N/A,N/A,N/A,N/A,47,0,47,3,47,4,N/A,N/A
2025-2026,3,2026-01-24,Nunavut,65,3,65,9,0,7,1,8,1,65,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,3,2026-01-24,Canada,"31,660","1,655","31,630","2,613",103,486,"1,522","2,346",267,"29,058","1,951","8,360",25,16,37,49,42,"8,437",92,"8,404",189,"8,496",506,"8,283",332
2025-2026,2,2026-01-17,Newfoundland and Labrador,514,29,453,67,2,60,4,66,1,453,7,453,0,6,3,7,0,453,4,453,24,453,13,453,16
2025-2026,2,2026-01-17,Prince Edward Island,198,7,197,40,0,0,37,37,3,197,3,8,0,0,1,0,0,8,0,8,0,8,0,8,0
2025-2026,2,2026-01-17,Nova Scotia,"1,835",147,"1,842",285,0,9,271,280,5,"1,842",88,29,0,0,0,0,0,29,2,29,0,29,0,29,0
2025-2026,2,2026-01-17,New Brunswick,"1,257",94,"1,266",124,0,9,115,124,0,"1,266",58,115,1,0,1,1,0,115,7,115,2,115,10,115,4
2025-2026,2,2026-01-17,Quebec,"12,357",643,"12,238","1,868",1,2,"1,826","1,829",39,"9,470",438,"1,229",7,3,0,3,0,"1,240",16,"1,229",16,"1,308",76,"1,217",37
2025-2026,2,2026-01-17,Ontario,"7,558",518,"7,250",540,61,236,293,511,29,"7,251",503,"4,180",1,0,4,1,41,"4,180",33,"4,181",21,"4,181",172,"4,097",141
2025-2026,2,2026-01-17,Manitoba,"1,320",70,"1,203",67,0,0,66,66,1,"1,203",12,81,1,0,1,4,0,81,0,81,2,81,7,81,1
2025-2026,2,2026-01-17,Saskatchewan,"1,495",89,"1,511",177,11,66,92,169,8,"1,382",122,482,3,3,4,5,0,482,7,482,9,482,21,482,7
2025-2026,2,2026-01-17,Alberta,"5,322",206,"5,132",508,71,314,23,408,100,"4,851",282,"1,697",12,5,8,9,0,"1,697",9,"1,696",44,"1,693",80,"1,697",59
2025-2026,2,2026-01-17,British Columbia,"3,932",106,"4,749",693,42,198,3,667,26,"4,749",276,929,8,5,4,10,0,951,7,926,35,948,73,918,12
2025-2026,2,2026-01-17,Yukon,40,0,34,7,0,7,0,7,0,34,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,2,2026-01-17,Northwest Territories,41,6,41,0,0,0,0,0,0,41,0,N/A,N/A,N/A,N/A,N/A,N/A,41,0,41,1,41,8,N/A,N/A
2025-2026,2,2026-01-17,Nunavut,93,5,93,34,3,23,6,32,2,93,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,2,2026-01-17,Canada,"35,962","1,920","36,009","4,410",191,924,"2,736","4,196",214,"32,832","1,792","9,203",33,22,26,40,41,"9,277",85,"9,241",154,"9,339",460,"9,097",277
2025-2026,1,2026-01-10,Newfoundland and Labrador,641,29,593,101,2,65,34,101,0,593,10,593,1,8,2,13,0,593,5,593,16,593,26,593,22
2025-2026,1,2026-01-10,Prince Edward Island,256,5,255,57,0,0,54,54,3,255,8,8,0,0,0,0,0,8,0,8,1,8,2,8,0
2025-2026,1,2026-01-10,Nova Scotia,"2,148",149,"2,179",392,14,96,277,387,5,"2,179",91,51,1,0,0,1,0,51,1,51,1,51,5,51,0
2025-2026,1,2026-01-10,New Brunswick,"1,440",116,"1,465",208,3,25,178,206,2,"1,465",38,108,2,0,0,0,0,108,3,108,0,108,11,108,3
2025-2026,1,2026-01-10,Quebec,"16,268",945,"16,348","3,462",1,2,"3,420","3,423",39,"12,661",344,"1,412",2,1,2,0,0,"1,422",31,"1,412",14,"1,485",92,"1,398",42
2025-2026,1,2026-01-10,Ontario,"9,379",578,"8,982","1,275",74,428,812,"1,252",23,"8,981",373,"5,019",1,3,2,2,48,"5,019",42,"5,022",36,"5,021",188,"4,969",89
2025-2026,1,2026-01-10,Manitoba,"1,722",81,"1,530",114,0,17,97,114,0,"1,530",18,125,0,2,0,3,0,125,3,125,7,125,7,125,2
2025-2026,1,2026-01-10,Saskatchewan,"2,049",126,"2,073",359,6,76,267,349,10,"1,871",83,669,5,5,1,7,0,669,10,669,2,669,29,669,9
2025-2026,1,2026-01-10,Alberta,"6,848",327,"6,704","1,081",150,764,58,977,104,"6,273",295,"2,190",16,5,2,14,0,"2,190",6,"2,189",25,"2,189",101,"2,190",39
2025-2026,1,2026-01-10,British Columbia,"5,032",132,"5,930","1,266",125,528,6,"1,234",32,"5,930",264,"1,224",9,6,8,15,0,"1,244",12,"1,222",75,"1,255",94,"1,212",20
2025-2026,1,2026-01-10,Yukon,44,0,33,4,0,4,0,4,0,32,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,1,2026-01-10,Northwest Territories,59,7,59,11,3,7,0,10,1,59,4,N/A,N/A,N/A,N/A,N/A,N/A,59,0,59,0,59,8,N/A,N/A
2025-2026,1,2026-01-10,Nunavut,118,11,117,56,5,49,2,56,0,117,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,1,2026-01-10,Canada,"46,004","2,506","46,268","8,386",383,"2,061","5,205","8,167",219,"41,946","1,529","11,399",37,30,17,55,48,"11,488",113,"11,458",177,"11,563",563,"11,323",226
2025-2026,53,2026-01-03,Newfoundland and Labrador,658,41,599,143,0,81,62,143,0,599,5,599,3,2,2,8,0,599,9,599,21,599,28,599,11
2025-2026,53,2026-01-03,Prince Edward Island,307,14,299,100,0,2,98,100,0,299,2,19,0,0,0,0,0,19,2,19,1,19,5,19,0
2025-2026,53,2026-01-03,Nova Scotia,"2,351",204,"2,366",509,8,148,346,502,7,"2,366",81,45,1,0,0,0,0,45,1,45,0,45,7,45,0
2025-2026,53,2026-01-03,New Brunswick,"1,728",142,"1,731",428,5,55,368,428,0,"1,731",31,127,0,0,1,1,1,127,6,127,0,127,9,127,3
2025-2026,53,2026-01-03,Quebec,"18,480","1,054","19,590","6,284",1,2,"6,250","6,253",31,"14,985",397,"1,497",3,1,3,10,0,"1,509",40,"1,497",10,"1,557",121,"1,491",41
2025-2026,53,2026-01-03,Ontario,"11,100",587,"10,539","2,498",112,921,"1,560","2,482",16,"10,539",418,"5,983",8,10,6,7,57,"5,983",56,"5,982",33,"5,981",207,"5,918",89
2025-2026,53,2026-01-03,Manitoba,"2,097",88,"1,799",240,0,16,222,238,2,"1,799",20,133,0,0,1,2,0,133,0,133,2,133,17,133,0
2025-2026,53,2026-01-03,Saskatchewan,"2,497",124,"2,539",768,1,52,711,764,4,"2,284",107,789,5,1,4,8,0,789,6,789,3,789,46,789,3
2025-2026,53,2026-01-03,Alberta,"8,089",338,"7,923","2,233",215,"1,824",91,"2,134",99,"7,493",319,"2,502",7,9,6,19,0,"2,501",10,"2,500",13,"2,498",113,"2,502",38
2025-2026,53,2026-01-03,British Columbia,"4,713",141,"5,923","1,451",136,850,7,"1,432",19,"5,923",287,"1,132",6,8,8,15,0,"1,156",17,"1,131",59,"1,153",113,"1,116",15
2025-2026,53,2026-01-03,Yukon,49,0,42,6,2,1,0,3,3,41,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,53,2026-01-03,Northwest Territories,60,4,60,21,5,15,0,20,1,60,2,N/A,N/A,N/A,N/A,N/A,N/A,60,0,60,0,60,2,N/A,N/A
2025-2026,53,2026-01-03,Nunavut,148,4,148,47,7,26,14,47,0,148,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2025-2026,53,2026-01-03,Canada,"52,277","2,741","53,558","14,728",492,"3,993","9,729","14,546",182,"48,267","1,669","12,826",33,31,31,70,58,"12,921",147,"12,882",142,"12,961",668,"12,739",200
2025-2026,52,2025-12-27,Newfoundland and Labrador,447,10,408,112,2,22,88,112,0,408,10,408,1,7,0,2,0,408,6,408,10,408,27,408,6
2025-2026,52,2025-12-27,Prince Edward Island,274,6,272,91,0,2,88,90,1,272,2,9,1,0,0,0,0,9,0,9,0,9,4,9,0
2025-2026,52,2025-12-27,Nova Scotia,"1,737",120,"1,741",428,7,139,277,423,5,"1,741",72,27,0,0,0,0,0,27,1,27,0,27,4,27,0
2025-2026,52,2025-12-27,New Brunswick,"1,660",120,"1,734",557,1,85,468,554,3,"1,734",39,168,1,1,2,0,1,168,3,168,3,168,31,168,8
